HN|INSCL|SUBTYPE|CID|HCODE|DATEEXP|HOSPMAIN|HOSPSUB|GOVCODE|GOVNAME|PERMITNO|DOCNO|OWNRPID|OWNNAME|An|SEQ|SUBINSCL|RELINSCL|HTYPE
39000001|UCS||1234567890123|13814|20241215|10756|10756|||PP1679955627|||||IO056700569609|||1
39000002|UCS||1234567890123|13814|20241215|10754|10754|||PP1679946750|||||IO056700578153|||1
39000003|UCS||1234567890123|13814|20241215|11357|11357|||PP1680122860|||||IO056700569611|||1
39000004|UCS||1234567890123|13814|20241215|11231|11231|||PP1679973461|||||IO056700569612|||1
39000005|UCS||1234567890123|13814|20241215|10741|10741|||PP1679959328|||||IO056700569614|||2
39000006|UCS||1234567890123|13814|20241215|10728|10728|||PP1679958937|||||IO056700569615|||2
39000007|UCS||1234567890123|13814|20241215|11297|11297|||PP1680032916|||||IO056700569619|||1
39000008|UCS||1234567890123|13814|20241215|10685|10685|||PP1679946560|||||IO056700569620|||2
39000009|UCS||1234567890123|13814|20241215|10686|10686|||PP1680014242|||||IO056700569622|||1
39000010|UCS||1234567890123|13814|20241215|27840|27840|||PP1680037727|||||IO056700569623|||1
