HN|DATEDX|CLINIC|DIAG|DXTYPE|DRDX|PERSON_ID|SEQ
59000001|20241211||N185|1|00000|1103700912959|IO056700569609
59000001|20241211||Z940|2|00000|1103700912959|IO056700569609
59000002|20241212||D561|1|00000|1130200118231|IO056700578153
59000002|20241212||D582|2|00000|1130200118231|IO056700578153
59000002|20241212||E831|2|00000|1130200118231|IO056700578153
59000003|20241213||D352|1|00000|3840200221512|IO056700569611
59000004|20241214||D561|1|00000|1101801189932|IO056700569612
59000004|20241214||D582|2|00000|1101801189932|IO056700569612
59000004|20241214||E831|2|00000|1101801189932|IO056700569612
59000005|20241215||D353|2|00000|1839900683481|IO056700569614
59000005|20241215||E232|1|00000|1839900683481|IO056700569614
59000006|20241216||E785|2|00000|1700400215065|IO056700569615
59000006|20241216||I10|2|00000|1700400215065|IO056700569615
59000006|20241216||N185|1|00000|1700400215065|IO056700569615
59000006|20241216||Z940|2|00000|1700400215065|IO056700569615
59000007|20241217||M545|1|00000|1730200206364|IO056700569619
59000008|20241218||K746|1|00000|3110100415915|IO056700569620
59000008|20241218||Z944|2|00000|3110100415915|IO056700569620
59000009|20241219||I351|1|00000|3120100087608|IO056700569622
59000009|20241219||I471|2|00000|3120100087608|IO056700569622
59000009|20241219||R731|2|00000|3120100087608|IO056700569622
