HN|AN|DATE|TOTAL|PAID|PTTYPE|PERSON_ID|SEQ|OPD_MEMO|INVOICE_NO|INVOICE_LT
49000001||20241220|4300|0|UC|1000000000001|IO066700569609||IO066700569609||
49000002||20241220|720|0|UC|3000000000001|IO066700578153||IO066700578153||
49000003||20241220|500|0|UC|1000000000002|IO066700569611||IO066700569611||
49000004||20241220|6580|0|UC|1000000000003|IO066700569612||IO066700569612||
49000005||20241220|510|0|UC|1000000000004|IO066700569614||IO066700569614||
49000006||20241220|250|0|UC|2000000000001|IO066700569615||IO066700569615||
49000007||20241220|865|0|UC|2000000000002|IO066700569619||IO066700569619||
49000008||20241220|2050|0|UC|3000000000002|IO066700569620||IO066700569620||
49000009||20241220|640|0|UC|2000000000003|IO066700569622||IO066700569622||
49000010||20241220|16000|0|UC|1000000000005|IO066700569623||IO066700569623||
